,0
0,62799.62
1,62882.145
2,61606.207
3,59045.785
4,59263.86
5,61442.074
6,64487.547
7,66444.54
8,68723.63
9,67539.37
10,66748.73
11,64593.41
12,64674.117
13,64137.19
14,62473.574
15,66660.27
16,70588.0
17,73160.1
18,73980.055
19,75524.125
20,65843.87
21,66600.22
22,62277.773
23,60702.848
24,61086.938
25,61079.496
26,62181.805
27,62116.47
28,66470.61
29,67755.03
30,73085.73
31,75679.11
32,79675.625
33,78446.23
34,87622.55
35,90051.8
36,91871.19
37,93252.85
38,91534.95
39,89378.41
40,87450.25
41,95756.945
42,96865.89
43,102283.18
44,101416.16
45,103612.695
46,101611.195
47,97583.445
48,100786.1
49,99471.43
50,101102.21
51,100882.0
52,104037.05
53,97840.02
54,93222.234
55,99293.49
56,100832.164
57,93836.016
58,92689.8
59,87048.305
60,79527.1
61,79325.21
62,82649.29
63,85634.42
64,84839.66
65,84975.64
66,84031.0
67,76832.51
68,73395.74
69,67041.375
70,81854.875
71,85247.26
72,88264.85
73,87039.76
74,87295.85
75,82166.984
76,87572.58
77,82665.91
78,83044.2
79,84890.62
80,84131.41
81,84306.36
82,84041.19
83,90132.03
84,90583.65
85,93330.73
86,97061.54
87,92325.4
88,93982.07
89,92216.43
90,100882.96
91,100273.266
92,104145.74
93,99654.38
94,97015.734
95,97198.9
96,92425.13
97,99675.24
98,103217.484
99,106573.94
100,107866.24
101,104054.71
102,99099.27
103,95197.77
104,98324.8
105,95888.92
106,93604.48
107,95328.336
108,96939.96
109,98586.5
110,99407.22
111,108336.445
112,110707.09
113,110169.44
114,107957.234
115,103294.164
116,102534.48
117,100164.82
118,105821.97
119,109340.125
120,109140.516
121,103588.45
122,99993.84
123,99764.53
124,94342.625
125,102150.37
126,100378.6
127,102103.19
128,105700.66
129,98967.71
130,96295.56
131,94142.766
132,102323.555
133,102037.3
134,105893.49
135,103897.02
136,104559.414
137,104954.664
138,100432.28
139,106706.43
140,105774.484
141,106890.48
142,103820.555
143,100705.8
144,98449.2
145,94001.42
146,102468.16
