,0
0,16242.749
1,16455.104
2,16562.166
3,15911.321
4,15759.865
5,15496.678
6,16167.795
7,16634.908
8,16699.201
9,16854.191
10,17044.889
11,16946.35
12,10387.034
13,15522.572
14,16373.259
15,16394.803
16,16243.629
17,16818.885
18,16872.229
19,16649.94
20,10140.357
21,8076.9243
22,11512.331
23,11299.111
24,9879.976
25,7193.919
26,9169.724
27,5806.155
28,12869.343
29,12378.878
30,13962.959
31,16598.643
32,16409.467
33,18579.117
34,16322.063
35,18531.201
36,17954.912
37,17704.156
38,20061.43
39,20353.738
40,20423.791
41,22341.908
42,21717.396
43,20146.912
44,15662.644
45,19839.973
46,20056.639
47,18549.807
48,24225.545
49,21153.412
50,21560.219
51,18130.99
52,19047.828
53,19683.58
54,19984.912
55,18459.574
56,19117.91
57,14784.471
58,17162.35
59,14078.959
60,14125.71
61,16977.691
62,16698.213
63,20348.299
64,16434.709
65,20434.28
66,15106.022
67,18402.52
68,18198.512
69,19827.492
70,19389.992
71,19825.63
72,20595.848
73,20245.049
74,18259.547
75,17287.69
76,19803.166
77,19127.66
78,18119.541
79,18520.16
80,19755.807
81,19551.299
82,18217.516
83,18002.102
84,18908.252
85,19771.225
86,18140.908
87,19603.648
88,19187.646
89,19237.72
90,19666.885
91,18606.047
92,19995.49
93,19359.242
94,19623.059
95,19922.717
96,20572.41
97,20481.32
98,20800.275
99,20576.129
100,20138.184
101,20370.256
102,20866.252
103,20980.45
104,20437.736
105,20452.389
106,20368.87
107,19895.967
108,18132.166
109,20663.883
110,21694.766
111,21463.863
112,21682.004
113,20930.264
114,19542.465
115,21125.428
116,19159.445
117,20813.836
118,21190.613
119,21562.287
120,21088.52
121,19955.184
122,20915.545
123,20314.508
124,20238.746
125,13167.377
126,20160.906
127,20279.98
128,19091.023
129,18433.082
130,18500.111
131,19617.857
132,19414.111
133,20032.143
134,18621.172
135,21208.102
136,17533.0
137,21104.473
138,18308.79
139,21393.494
140,20120.82
141,20583.863
142,20281.86
143,19823.678
144,22330.555
145,18976.043
146,23064.56
