,0
0,86188.46
1,89233.91
2,89655.336
3,88811.71
4,91263.91
5,87221.9
6,93736.414
7,95187.35
8,94907.37
9,91721.24
10,89619.766
11,90440.64
12,52631.656
13,98452.875
14,93728.58
15,98020.04
16,94341.625
17,93100.34
18,93562.74
19,86557.586
20,58102.86
21,53056.152
22,61714.547
23,53792.53
24,39690.707
25,14546.945
26,19196.39
27,-4250.127
28,72694.43
29,64931.355
30,85414.36
31,85100.18
32,83717.06
33,86594.28
34,80656.01
35,101181.76
36,84658.984
37,85741.03
38,90989.516
39,97532.49
40,88086.2
41,101471.336
42,103745.6
43,105973.875
44,62531.793
45,87676.09
46,76179.64
47,78738.945
48,72960.31
49,73679.65
50,75407.445
51,64133.414
52,75097.766
53,81564.22
54,88540.984
55,78176.72
56,92717.836
57,73816.98
58,90424.4
59,49434.406
60,67985.12
61,42040.723
62,66728.79
63,85616.47
64,87485.3
65,91177.14
66,86946.13
67,100025.45
68,76300.84
69,88274.914
70,74120.445
71,103342.61
72,87009.27
73,95761.95
74,87099.99
75,85946.63
76,75197.48
77,93766.766
78,89570.83
79,81308.86
80,86995.74
81,82042.06
82,78787.664
83,83586.08
84,101961.62
85,86087.66
86,85821.68
87,76908.88
88,88453.17
89,79509.84
90,88404.62
91,86292.336
92,91064.68
93,89011.94
94,88120.1
95,91393.79
96,85262.92
97,90277.93
98,92733.04
99,94546.305
100,84770.44
101,93769.17
102,88256.3
103,83131.55
104,81017.4
105,93043.99
106,88266.63
107,80412.65
108,78154.29
109,84333.81
110,81828.52
111,82279.914
112,84916.484
113,82175.664
114,81469.88
115,82334.35
116,76314.125
117,72345.48
118,68720.88
119,77783.49
120,78882.17
121,78719.73
122,71968.99
123,74000.375
124,70368.95
125,34677.812
126,79762.945
127,75624.21
128,74356.45
129,69350.27
130,70582.91
131,68796.76
132,71922.984
133,80248.66
134,73174.9
135,79293.11
136,74330.61
137,73335.34
138,70137.14
139,80394.65
140,75796.305
141,83198.04
142,73136.836
143,74645.68
144,76837.734
145,71732.4
146,80025.695
