,0
0,6646.2603
1,6848.003
2,6638.873
3,4858.602
4,4239.041
5,6043.2373
6,7775.7812
7,7584.5757
8,7899.2324
9,7411.391
10,5349.003
11,4724.7236
12,6768.603
13,7601.893
14,6942.3193
15,7105.6978
16,7148.0127
17,5771.0493
18,5412.3257
19,9488.431
20,6738.1636
21,6924.4946
22,7157.826
23,6129.173
24,4378.3896
25,4633.227
26,5622.401
27,6225.291
28,5982.124
29,6174.321
30,7523.357
31,6285.7837
32,7690.6313
33,7167.8457
34,10007.007
35,10718.098
36,11706.632
37,11944.584
38,9687.918
39,7367.92
40,9344.847
41,13184.924
42,12421.793
43,13234.605
44,13316.047
45,8933.328
46,7749.322
47,10105.493
48,13230.208
49,12072.568
50,12878.923
51,12710.416
52,8968.533
53,8548.099
54,10998.325
55,12638.348
56,10847.745
57,11486.043
58,11957.869
59,7813.82
60,6471.5684
61,9646.081
62,10161.08
63,9921.6875
64,11203.453
65,10795.957
66,7507.213
67,6520.3555
68,9824.535
69,7762.8667
70,10260.973
71,11208.137
72,11285.888
73,8302.402
74,7288.2393
75,9458.676
76,12259.945
77,10903.908
78,10850.189
79,10478.752
80,6901.7886
81,6136.919
82,9979.082
83,11593.609
84,11083.094
85,11840.774
86,11821.22
87,8090.7144
88,6798.7373
89,10823.949
90,11901.083
91,11122.6455
92,11434.502
93,11371.806
94,6541.2163
95,6554.938
96,10751.807
97,11597.375
98,11001.476
99,11235.667
100,10170.192
101,5938.188
102,5691.813
103,9613.152
104,9401.702
105,8950.165
106,9564.097
107,9692.487
108,6129.7207
109,6311.799
110,10157.655
111,9434.812
112,9479.334
113,9676.433
114,9463.897
115,5646.153
116,5858.3486
117,9574.836
118,9892.954
119,9537.452
120,9043.26
121,8665.31
122,5451.246
123,5535.6255
124,8986.485
125,9575.639
126,8882.829
127,8408.085
128,9222.887
129,5780.0835
130,5552.727
131,8984.595
132,8863.867
133,9037.109
134,9741.088
135,9040.311
136,5638.5254
137,5751.647
138,9490.668
139,9613.048
140,9517.064
141,10319.745
142,10013.367
143,6768.3755
144,6438.1675
145,10524.943
146,10931.352
