,0
0,2527.8381
1,2637.566
2,2602.2087
3,2443.6362
4,2334.791
5,2381.3345
6,2476.0261
7,2618.419
8,2743.4375
9,2815.3982
10,2645.786
11,2530.0737
12,1643.5864
13,2223.1414
14,2478.2207
15,2592.015
16,2533.8447
17,2622.9932
18,2614.3816
19,2756.9731
20,1669.6465
21,1376.8032
22,1645.6863
23,1699.7588
24,1517.7999
25,1065.3674
26,1187.7993
27,1174.7313
28,1900.995
29,1895.7494
30,2194.9314
31,2517.3
32,2673.1174
33,2841.092
34,3028.8025
35,3181.887
36,3684.066
37,3160.3896
38,3439.3862
39,3502.596
40,3177.9795
41,3929.722
42,4225.9517
43,3828.975
44,3174.7014
45,3822.183
46,3649.5005
47,3525.4695
48,3564.578
49,4061.5222
50,4245.044
51,3482.0496
52,3133.051
53,3214.2585
54,3969.6453
55,3373.1267
56,3613.3403
57,2902.558
58,3167.7163
59,2569.729
60,2713.2532
61,2759.0112
62,3482.2073
63,4053.6912
64,3700.3635
65,3826.344
66,2686.4336
67,3535.9949
68,3229.0693
69,3989.627
70,4012.5762
71,4619.0264
72,4282.404
73,4394.068
74,3832.3606
75,3283.7292
76,4452.292
77,4234.243
78,3911.0217
79,3753.9153
80,3498.8728
81,3729.3691
82,3220.8252
83,3580.2893
84,4066.0803
85,4280.81
86,3670.8464
87,3609.3828
88,3540.0955
89,3671.79
90,4014.0105
91,3786.4724
92,3960.6404
93,3656.1577
94,3436.3806
95,3170.4907
96,3649.2908
97,3861.4
98,3785.9714
99,3759.0508
100,3092.0388
101,2915.2295
102,3205.8313
103,3342.219
104,3313.5176
105,3524.7869
106,3024.2268
107,2948.9465
108,2483.3276
109,2807.6138
110,3383.374
111,3542.1367
112,3434.738
113,2833.4958
114,2654.331
115,2943.6519
116,2556.9028
117,3140.813
118,3418.2537
119,3447.0935
120,3081.4536
121,2806.9521
122,2818.1458
123,2946.7712
124,3185.481
125,2265.2954
126,3068.5796
127,2968.29
128,2911.1929
129,2280.55
130,2473.5964
131,2824.3218
132,3012.875
133,2963.9968
134,2838.289
135,2879.6833
136,2185.5842
137,2836.0403
138,2833.9207
139,3245.4265
140,3117.962
141,3068.5122
142,2933.3052
143,2703.8323
144,3101.6294
145,2954.1348
146,3590.4072
