,0
0,2216.3997
1,2370.6787
2,2264.9756
3,1752.9706
4,1600.7538
5,2079.4211
6,2471.101
7,2436.2046
8,2555.3628
9,2482.8484
10,1974.7654
11,1746.8892
12,2235.6804
13,2496.441
14,2337.7947
15,2447.1301
16,2478.5947
17,2025.2435
18,2036.0737
19,2795.374
20,2431.2883
21,2439.4512
22,2511.3188
23,2268.7
24,1752.7017
25,1667.2665
26,2040.9652
27,2211.5608
28,2212.3066
29,2204.817
30,2419.826
31,2172.4814
32,2417.1843
33,2491.9917
34,3080.7798
35,3182.4924
36,3416.4575
37,3406.675
38,2905.7344
39,2582.534
40,2769.647
41,3391.3318
42,3371.059
43,3537.8525
44,3473.5325
45,3085.5813
46,2762.8625
47,3064.6052
48,3499.846
49,3526.6318
50,3524.1433
51,3498.9795
52,3172.3513
53,2790.854
54,3060.1187
55,3613.6912
56,3406.3474
57,3346.7927
58,3426.598
59,2723.6602
60,2263.784
61,2818.198
62,3186.2598
63,3095.5713
64,3327.0916
65,3271.9556
66,2713.8467
67,2487.297
68,3082.9417
69,2870.061
70,3131.7878
71,3335.7295
72,3257.206
73,2739.7964
74,2629.7246
75,3117.0686
76,3630.9346
77,3307.5422
78,3222.0442
79,3169.9749
80,2443.8975
81,2428.7468
82,3094.2458
83,3498.1086
84,3334.4937
85,3558.1555
86,3519.761
87,2820.2422
88,2678.2915
89,3249.77
90,3577.0918
91,3420.3894
92,3670.0535
93,3440.8303
94,2631.9307
95,2543.6836
96,3284.9001
97,3526.5068
98,3287.8591
99,3357.1453
100,3306.7976
101,2640.0203
102,2490.6982
103,3261.0833
104,3380.2922
105,3071.7764
106,3206.044
107,3078.9233
108,2397.874
109,2394.2935
110,3207.937
111,3369.8909
112,3287.1125
113,3503.004
114,3315.0596
115,2606.75
116,2488.242
117,3198.0356
118,3214.1997
119,3111.0806
120,3167.0444
121,3041.743
122,2491.8872
123,2384.9194
124,3000.535
125,3259.7905
126,2961.4565
127,3009.748
128,3047.6294
129,2424.2368
130,2332.7764
131,2996.7764
132,3062.5305
133,2969.0212
134,3220.6035
135,3101.156
136,2574.2375
137,2457.2463
138,3097.0662
139,3274.4438
140,3145.41
141,3284.3623
142,3239.672
143,2603.9336
144,2394.2698
145,3159.2537
146,3371.8481
