,0
0,913.2831
1,973.7638
2,931.47266
3,959.56714
4,959.01227
5,944.55035
6,956.974
7,977.9036
8,1002.295
9,1085.6055
10,916.06213
11,968.0021
12,533.1179
13,881.01044
14,906.472
15,887.7395
16,937.98303
17,1081.6764
18,1086.383
19,1029.2428
20,551.3278
21,483.75244
22,420.43
23,372.29678
24,422.92224
25,324.5289
26,341.3445
27,284.57797
28,664.64136
29,667.9561
30,790.27795
31,889.1298
32,950.2671
33,985.8788
34,978.65784
35,1170.0996
36,1214.7062
37,1232.8008
38,1335.1028
39,1256.2299
40,1120.7252
41,1375.5507
42,1302.1854
43,1235.4554
44,635.3157
45,1041.3052
46,1113.7845
47,1124.1245
48,1258.4545
49,1315.0919
50,1282.2123
51,887.5055
52,890.3841
53,766.455
54,1079.6381
55,1377.074
56,1353.5936
57,1263.9265
58,1126.6637
59,1253.9347
60,1168.8171
61,1134.4816
62,1327.7214
63,1416.0289
64,1446.5906
65,1456.5262
66,1116.026
67,1144.5911
68,1305.2224
69,1460.8307
70,1417.7423
71,1337.8832
72,1490.3333
73,1541.7104
74,1308.2302
75,1353.0488
76,1316.9177
77,1345.1882
78,1511.6854
79,1427.2168
80,1186.7396
81,1370.6036
82,1305.8695
83,1262.3743
84,1456.0582
85,1489.5951
86,1502.8966
87,1526.7112
88,1324.9958
89,1389.0138
90,1456.1244
91,1331.3285
92,1487.0448
93,1311.9677
94,1348.156
95,1481.0342
96,1458.7578
97,1517.6514
98,1391.7091
99,1345.7666
100,1380.2148
101,1383.0544
102,1230.414
103,1376.1515
104,1375.8331
105,1367.2205
106,1375.2213
107,1251.5878
108,1244.5424
109,1435.964
110,1493.8479
111,1494.0924
112,1418.9432
113,1431.9266
114,1161.3116
115,1353.6129
116,1151.0215
117,1429.8618
118,1343.3271
119,1389.9731
120,1391.9017
121,1247.4988
122,1276.384
123,1329.3701
124,1388.4586
125,1280.1416
126,1371.5774
127,1321.7876
128,1301.1752
129,1262.4167
130,1392.0079
131,1433.2655
132,1402.279
133,1348.5232
134,1281.4868
135,1270.6384
136,1180.9341
137,1191.0148
138,1235.1488
139,1331.5626
140,1356.9122
141,1378.0521
142,1325.0026
143,1328.289
144,1238.335
145,1410.554
146,1376.144
